namn,friendly_name,stad,lan,email,hemsida,facebook,kalla,skickat,datum,tid
Chippens Kennel,Chippens,Enskede,Stockholms län,,,,google_maps,,,
Örjansbergets Kennel,Örjansbergets,Göteborg,Västra Götalands län,,,,google_maps,,,
Stjärnans black and Tan Kennel,Stjärnans black and Tan,Malmö,Skåne län,,,,google_maps,,,
kennel Sublime,kennel Sublime,Malmö,Skåne län,,http://www.kerryblueterrier.se,,google_maps,,,
Sydskånska Kennelklubben,Sydskånska Kennelklubben,Arlöv,Skåne län,,,,google_maps,,,
Rissies Kennel,Rissies,Genarp,Skåne län,,https://www.rissieskennel.se,,google_maps,,,
Orkanens Kennel,Orkanens,Malmö,Skåne län,,http://www.orkanens.se/en/contact-us,,google_maps,,,
kennel DenDu,kennel DenDu,Örebro,Örebro län,,,,google_maps,,,
Kennel fyra små tassar,Kennel fyra små tassar,Viken,Skåne län,,,,google_maps,,,
Wilson Parks kennel,Wilson Parks,Helsingborg,Skåne län,,,,google_maps,,,
Aeneas Kennel,Aeneas,Helsingborg,Skåne län,,https://www.aeneaskennel.se/kontakt,,google_maps,,,
Fruängens Kennel,Fruängens,Norrköping,Östergötlands län,,,,google_maps,,,
BIG hEART´S KENNEL,BIG hEART'S,Jönköping,Jönköpings län,,,,google_maps,,,
Oskars kennel och linsgucka,Oskars kennel och linsgucka,Umeå,Västerbottens län,,,,google_maps,,,
Kennel Mistykooi,Kennel Mistykooi,Lund,Skåne län,,http://www.mistykooi.se/430707859,,google_maps,,,
Lavindalens Kennel,Lavindalens,Sundsvall,Västernorrlands län,,,,google_maps,,,
Kennel Starzingers Aurora,Kennel Starzingers Aurora,Gävle,Gävleborgs län,,https://swemaps.org/details/kennel-starzingers-aurora-ChIJO-0,,google_maps,,,
High Five's Kennel,High Five's,Gävle,Gävleborgs län,,https://www.highfives.se,,google_maps,,,
Kennel Silversign,Kennel Silversign,Eskilstuna,Södermanlands län,,http://www.silversign.se,,google_maps,,,
"Irishcanis kennel, fd Greirish","Irishcanis kennel, fd Greirish",Södertälje,Stockholms län,,,,google_maps,,,
Nordic Canine’s Kennel,Nordic Canine's,Järna,Stockholms län,,http://nordiccanine.se,https://www.facebook.com/NordicCanineKennel,google_maps,,,
Kennel Glimmaheden,Kennel Glimmaheden,Karlstad,Värmlands län,,https://naviswbusiness.org/details/kennel-glimmaheden-ChIJ5fd,,google_maps,,,
Lappizaros kennel,Lappizaros,Tolita,Värmlands län,,,,google_maps,,,
Guldlyckans kennel,Guldlyckans,Täby,Stockholms län,,,,google_maps,,,
Kennel Azlandos,Kennel Azlandos,Luleå,Norrbottens län,,,,google_maps,,,
ÅDRANS KENNEL - Papillon,ÅDRANS - Papillon,Huddinge,Stockholms län,,,,google_maps,,,
Kennel Glamshine,Kennel Glamshine,Skogås,Stockholms län,,,,google_maps,,,
Kennel Robic,Kennel Robic,Järfälla,Stockholms län,,,,google_maps,,,
My Funny Friend Bichon Havanais Kennel,My Funny Friend Bichon Havanais,Söderbärke,Stockholms län,,https://www.myfunnyfriend.se,https://facebook.com/335091396644374,google_maps,,,
Långvalslidens Kennel,Långvalslidens,Uddevalla,Västra Götalands län,,http://www.teambreeders.se,,google_maps,,,
Kennel Perchwater,Kennel Perchwater,Trollhättan,Västra Götalands län,,,,google_maps,,,
Kennel Drömfångaren,Kennel Drömfångaren,Skövde,Västra Götalands län,,http://www.kenneldromfangaren.se,https://www.facebook.com/kenneldromfangaren,google_maps,,,
Kennel Tollskoj,Kennel Tollskoj,Halmstad,Hallands län,,https://swemaps.org/details/kennel-tollskoj-ChIJUUp,,google_maps,,,
Stardrift`s kennel,Stardrift's,Slättåkra,Hallands län,,https://www.kennelstardrift.se,,google_maps,,,
Kennel Goldflames AB,Kennel Goldflames,Halmstad,Hallands län,,,,google_maps,,,
Kennel Riddarprinsessan's,Kennel Riddarprinsessan's,Varberg,Hallands län,,,,google_maps,,,
Kennel Newcroft's,Kennel Newcroft's,Varberg,Hallands län,,http://kennelnewcrofts.wordpress.com,,google_maps,,,
Millijors Kennel,Millijors,Varberg,Hallands län,,,,google_maps,,,
Create Dreams Kennel,Create Dreams,Kungsbacka,Hallands län,,http://www.createdreams.se,,google_maps,,,
